1,Route 1
2,Route 2
3,Route 3
4,Route 4
5,Route 5
6,Route 6
7,Route 7
8,Route 8
9,Route 9
10,Route 10
11,Route 11
12,Route 12
13,Route 13
14,Route 14
15,Route 15
16,Route 16
17,Route 17
18,Route 18
19,Route 19
20,Route 20
21,Route 21
22,Route 22
23,Route 23
24,Route 24
25,Route 25
26,Route 26
27,Route 27
28,Route 28
29,Route 29
30,Route 30
31,Route 31
32,Route 32
33,Route 33
34,Route 34
35,Route 35
36,Route 36
37,Route 37
38,Route 38
39,Route 39
40,Route 40
41,Route 41
42,Route 42
43,Route 43
44,Route 44
45,Route 45
46,Route 46
47,Route 47
48,Route 48
49,Azalea Town
50,Battle Frontier
51,Battle Tower
52,Bellchime Trail
53,Bell Tower
54,Blackthorn City
55,Burned Tower
56,Cherrygrove City
57,Cianwood City
58,Cliff Cave
59,Cliff Edge Gate
60,Dark Cave
61,Dragon's Den
62,Ecruteak City
63,Embedded Tower
64,Frontier Access
65,Goldenrod City
66,Goldenrod Underground
67,Ice Path
68,Ilex Forest
69,Lake of Rage
70,Mahogany Town
71,Mt. Mortar
72,Mt. Silver
73,National Park
74,New Bark Town
75,Olivine City
76,Radio Tower
77,Rocket Hideout
78,Ruins of Alph
79,Safari Zone
80,Safari Zone Gate
81,Shining Lighthouse
82,Sinjoh Ruins
83,Slowpoke Well
84,Sprout Tower
85,SS Aqua
86,Tin Tower
87,Union Cave
88,Violet City
89,Whirl Islands
90,Cerulean City
91,Cinnabar Island
92,Celadon City
93,Diglett's Cave
94,Fuchsia City
95,Indigo Plateau
96,Lavender Town
97,Mt Moon
98,Pallet Town
99,Pewter City
100,Power Plant
101,Reception Gate
102,Rock Tunnel
103,Saffron City
104,Seafoam Islands
105,Silph Co
106,Tohjo Falls
107,Underground Path 5-6
108,Vermilion City
109,Victory Road
110,Viridian City
